Species,Colony,"Proportion of fragments bleached, %",Mean,mor_norm,mig_norm,combined,Ranking,Heat tolerance
A. digitifera,D02,0,-41.23445162374277,0,0,0,1,High
A. digitifera,D29,0,-39.62029857582347,0,0.022864197251124964,0.022864197251124964,2,High
A. digitifera,D15,0,-39.12485032780235,0,0.029882135534660948,0.029882135534660948,3,High
A. digitifera,D40,0,-38.62713472642515,0,0.036932190484233206,0.036932190484233206,4,High
A. digitifera,D13,0,-38.04478619631702,0,0.04518105615311034,0.04518105615311034,5,High
A. digitifera,D35,0,-38.020170328385134,0,0.045529735642101644,0.045529735642101644,6,High
A. digitifera,D08,0,-37.8387046822042,0,0.04810016496658979,0.04810016496658979,7,High
A. digitifera,D06,0,-35.49980252499203,0,0.08123030732980291,0.08123030732980291,8,High
A. digitifera,D20,0,-35.20440695812124,0,0.08541453417046568,0.08541453417046568,9,Intermediate
A. digitifera,D24,0,-33.59256477121302,0,0.1082459984771865,0.1082459984771865,10,Intermediate
A. digitifera,D14,0,-33.543334620604895,0,0.10894333500029854,0.10894333500029854,11,Intermediate
A. digitifera,D32,0,-33.181923541808594,0,0.11406266008845686,0.11406266008845686,12,Intermediate
A. digitifera,D33,0,-33.00448351157403,0,0.11657606726304807,0.11657606726304807,13,Intermediate
A. digitifera,D36,0,-32.96835253964499,0,0.11708785619788627,0.11708785619788627,14,Intermediate
A. digitifera,D28,0,-31.996840401352507,0,0.1308491567080297,0.1308491567080297,15,Intermediate
A. digitifera,D16,0,-29.955430082422986,0,0.1597653789105355,0.1597653789105355,16,Intermediate
A. digitifera,D26,0,-29.479803858087955,0,0.1665025416752572,0.1665025416752572,17,Intermediate
A. digitifera,D30,0,-27.92493935047164,0,0.18852692706221838,0.18852692706221838,18,Intermediate
A. digitifera,D31,0,-27.11885557915762,0,0.19994496351917757,0.19994496351917757,19,Intermediate
A. digitifera,D25,0,-26.345941462694253,0,0.21089315758279337,0.21089315758279337,20,Intermediate
A. digitifera,D38,12.5,-33.35274460096753,0.125,0.11164300948822993,0.23664300948822992,21,Intermediate
A. digitifera,D09,0,-24.402907792045202,0,0.2384158916683646,0.2384158916683646,22,Intermediate
A. digitifera,D37,0,-24.003912283297527,0,0.2440675936715168,0.2440675936715168,23,Intermediate
A. digitifera,D39,0,-23.511047854839653,0,0.25104893260021993,0.25104893260021993,24,Intermediate
A. digitifera,D22,12.5,-31.97686729903836,0.125,0.13113207222934053,0.25613207222934053,25,Intermediate
A. digitifera,D04,0,-22.294272047413777,0,0.2682843503366259,0.2682843503366259,26,Intermediate
A. digitifera,D34,0,-21.0001636649167,0,0.2866151705521491,0.2866151705521491,27,Intermediate
A. digitifera,D21,0,-15.877486921736224,0,0.3591769958764626,0.3591769958764626,28,Intermediate
A. digitifera,D18,0,-13.335734831780323,0,0.3951804722649769,0.3951804722649769,29,Intermediate
A. digitifera,D03,12.5,-12.76257379535057,0.125,0.4032991986834424,0.5282991986834424,30,Intermediate
A. digitifera,D11,25,-16.444315699934705,0.25,0.3511479647947754,0.6011479647947754,31,Intermediate
A. digitifera,D17,12.5,-3.994692626632704,0.125,0.5274947108589468,0.6524947108589468,32,Intermediate
A. digitifera,D12,25,2.7239598061878,0.25,0.6226632543150804,0.8726632543150804,33,Low
A. digitifera,D05,37.5,-4.842886991520078,0.375,0.5154801851663081,0.8904801851663081,34,Low
A. digitifera,D10,37.5,-0.09404583378595188,0.375,0.5827466944261672,0.9577466944261672,35,Low
A. digitifera,D27,50,-0.9822317573285702,0.5,0.5701656952590014,1.0701656952590013,36,Low
A. digitifera,D01,25,16.691999296357764,0.25,0.8205181048984407,1.0705181048984407,37,Low
A. digitifera,D23,50,6.692529814186162,0.5,0.6788773584142782,1.1788773584142782,38,Low
A. digitifera,D19,62.5,17.5516895347324,0.625,0.8326954676400975,1.4576954676400975,39,Low
A. digitifera,D07,100,29.362955763471874,1,1,2,40,Low
A. millepora,M04,0,-23.431457642390814,0,0,0,1,High
A. millepora,M09,0,-10.59673092654786,0,0.0927254629961736,0.0927254629961736,2,High
A. millepora,M21,0,-9.821037383756588,0,0.09832952021460101,0.09832952021460101,3,High
A. millepora,M03,0,-7.728062756308429,0,0.11345037519391393,0.11345037519391393,4,High
A. millepora,M24,0,-5.46048805625585,0,0.12983264172719675,0.12983264172719675,5,High
A. millepora,M17,0,-5.243593078005386,0,0.13139961605591335,0.13139961605591335,6,High
A. millepora,M16,0,-3.848248855789093,0,0.14148038691364676,0.14148038691364676,7,Intermediate
A. millepora,M01,0,2.021087029826906,0,0.18388385210017102,0.18388385210017102,8,Intermediate
A. millepora,M26,0,5.25569359197039,0,0.20725251414694348,0.20725251414694348,9,Intermediate
A. millepora,M18,0,6.345985704665443,0,0.21512941275094194,0.21512941275094194,10,Intermediate
A. millepora,M19,0,7.36664250953616,0,0.22250322575741677,0.22250322575741677,11,Intermediate
A. millepora,M29,0,7.385787224987857,0,0.22264153821575663,0.22264153821575663,12,Intermediate
A. millepora,M15,0,14.5301282442029,0,0.2742563753272892,0.2742563753272892,13,Intermediate
A. millepora,M14,0,18.474588038197343,0,0.30275342623967433,0.30275342623967433,14,Intermediate
A. millepora,M30,12.5,-2.867328806011789,0.16666666666666666,0.1485671186993384,0.31523378536600505,15,Intermediate
A. millepora,M22,12.5,-1.197527277780225,0.16666666666666666,0.1606307273171882,0.3272973939838548,16,Intermediate
A. millepora,M13,12.5,1.234548915469274,0.16666666666666666,0.17820144744655866,0.3448681141132253,17,Intermediate
A. millepora,M07,12.5,1.3068374512609082,0.16666666666666666,0.17872370149208663,0.3453903681587533,18,Intermediate
A. millepora,M02,12.5,7.827350598424404,0.16666666666666666,0.22583164651728482,0.39249831318395145,19,Intermediate
A. millepora,M08,0,31.80965586127353,0,0.3990936417624406,0.3990936417624406,20,Intermediate
A. millepora,M28,12.5,11.498390948858455,0.16666666666666666,0.25235335778609197,0.41902002445275865,21,Intermediate
A. millepora,M25,25,4.576150709156275,0.3333333333333333,0.20234310471192113,0.5356764380452544,22,Intermediate
A. millepora,M20,37.5,33.583829650390385,0.5,0.4119112957471153,0.9119112957471154,23,Intermediate
A. millepora,M23,37.5,34.691540721821106,0.5,0.41991403894830986,0.9199140389483098,24,Intermediate
A. millepora,M06,37.5,35.963746739316875,0.5,0.4291051884453379,0.9291051884453378,25,Low
A. millepora,M05,37.5,49.99047024310992,0.5,0.5304423232362986,1.0304423232362985,26,Low
A. millepora,M10,50,34.96699730083957,0.6666666666666666,0.42190409603252504,1.0885707626991916,27,Low
A. millepora,M12,50,60.33834159358674,0.6666666666666666,0.6052013097921557,1.2718679764588223,28,Low
A. millepora,M11,62.5,105.10431273922624,0.8333333333333334,0.9286164858884973,1.7619498192218308,29,Low
A. millepora,M27,75,114.98496327505008,1,1,2,30,Low
A. tenuis,T05,0,-14.780712313480873,0,0,0,1,High
A. tenuis,T13,0,-13.561948001939784,0,0.02236226984956436,0.02236226984956436,2,High
A. tenuis,T29,0,-12.422749866929912,0,0.043264634536465,0.043264634536465,3,High
A. tenuis,T21,0,-12.192237980122814,0,0.04749413893489503,0.04749413893489503,4,High
A. tenuis,T18,0,-11.306199305129054,0,0.06375145444678998,0.06375145444678998,5,High
A. tenuis,T28,0,-9.187936020454575,0,0.10261801358029338,0.10261801358029338,6,Intermediate
A. tenuis,T03,0,-9.082741230304563,0,0.10454816058396493,0.10454816058396493,7,Intermediate
A. tenuis,T14,0,-8.850523444206797,0,0.10880896535762984,0.10880896535762984,8,Intermediate
A. tenuis,T30,0,-8.001417117932327,0,0.12438863455151383,0.12438863455151383,9,Intermediate
A. tenuis,T19,0,-4.2683514828209095,0,0.19288409368826795,0.19288409368826795,10,Intermediate
A. tenuis,T20,0,-3.2739313557550145,0,0.2111300260762676,0.2111300260762676,11,Intermediate
A. tenuis,T17,12.5,-4.253735200678976,0.125,0.19315227781735686,0.3181522778173569,12,Intermediate
A. tenuis,T26,12.5,-3.801558453622467,0.125,0.2014489585960957,0.3264489585960957,13,Intermediate
A. tenuis,T22,0,4.6843263668539405,0,0.35715063485199583,0.35715063485199583,14,Intermediate
A. tenuis,T27,37.5,-11.413770043998795,0.375,0.06177771279080035,0.43677771279080035,15,Intermediate
A. tenuis,T10,12.5,3.0727059736720914,0.125,0.32758011839847184,0.45258011839847184,16,Intermediate
A. tenuis,T16,25,-1.706642340329939,0.25,0.23988713650631976,0.48988713650631976,17,Intermediate
A. tenuis,T12,50,-7.136201294397984,0.5,0.1402638858538127,0.6402638858538127,18,Intermediate
A. tenuis,T02,37.5,0.7368242348781278,0.375,0.28472062761347344,0.6597206276134735,19,Intermediate
A. tenuis,T06,50,0.4527639276357842,0.5,0.279508600001612,0.779508600001612,20,Intermediate
A. tenuis,T11,37.5,16.098695270166072,0.375,0.5665850555691441,0.9415850555691441,21,Low
A. tenuis,T15,87.5,30.48351496786792,0.875,0.8305222391338541,1.7055222391338543,22,Low
A. tenuis,T01,100,35.12746535853572,1,0.9157308974615574,1.9157308974615574,23,Low
A. tenuis,T23,100,36.45588753463405,1,0.9401052042038457,1.9401052042038458,24,Low
A. tenuis,T04,100,39.720209092976035,1,1,2,25,Low
